Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.02, 1.00, 0.00), Sphere:(0.00, 1.00, 0.00), Time: 0
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.02, 1.02, 0.00), Sphere:(0.03, 1.00, 0.00), Time: 0,0664946
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.06, 1.01, 0.00), Sphere:(0.07, 1.00, 0.00), Time: 0,1331692
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.07, 1.00, 0.00), Sphere:(0.09, 1.00, 0.00), Time: 0,1896277
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.08, 0.92, 0.00), Sphere:(0.12, 1.01, 0.00), Time: 0,2447497
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.13, 0.98, 0.00), Sphere:(0.15, 1.01, 0.00), Time: 0,3004742
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.18, 0.95, 0.00), Sphere:(0.18, 1.02, 0.00), Time: 0,3562791
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.25, 1.00, 0.00), Sphere:(0.21, 1.02, 0.00), Time: 0,4137839
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.28, 1.00, 0.00), Sphere:(0.23, 1.03, 0.00), Time: 0,4693129
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.30, 1.02, 0.00), Sphere:(0.26, 1.03, 0.00), Time: 0,5246457
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.30, 1.02, 0.00), Sphere:(0.29, 1.04, 0.00), Time: 0,5804831
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.27, 1.03, 0.00), Sphere:(0.31, 1.05, 0.00), Time: 0,6357877
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.33, 1.02, 0.00), Sphere:(0.34, 1.06, 0.00), Time: 0,7025108
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.35, 1.03, 0.00), Sphere:(0.37, 1.07, 0.00), Time: 0,7578265
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.38, 1.06, 0.00), Sphere:(0.40, 1.08, 0.00), Time: 0,8148054
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.44, 1.07, 0.00), Sphere:(0.42, 1.09, 0.00), Time: 0,8685606
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.42, 1.06, 0.00), Sphere:(0.45, 1.11, 0.00), Time: 0,9248413
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.48, 1.09, 0.00), Sphere:(0.47, 1.12, 0.00), Time: 0,9817928
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.49, 1.11, 0.00), Sphere:(0.50, 1.13, 0.00), Time: 1,03623
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.54, 1.12, 0.00), Sphere:(0.52, 1.15, 0.00), Time: 1,093685
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.53, 1.12, 0.00), Sphere:(0.54, 1.16, 0.00), Time: 1,147134
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.55, 1.12, 0.00), Sphere:(0.57, 1.18, 0.00), Time: 1,202548
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.54, 1.12, 0.00), Sphere:(0.59, 1.19, 0.00), Time: 1,257902
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.57, 1.13, 0.00), Sphere:(0.61, 1.21, 0.00), Time: 1,313246
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.55, 1.13, 0.00), Sphere:(0.63, 1.23, 0.00), Time: 1,370708
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.62, 1.14, 0.00), Sphere:(0.65, 1.24, 0.00), Time: 1,423107
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.67, 1.15, 0.00), Sphere:(0.67, 1.26, 0.00), Time: 1,480458
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.70, 1.19, 0.00), Sphere:(0.69, 1.28, 0.00), Time: 1,534057
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.75, 1.23, 0.00), Sphere:(0.71, 1.30, 0.00), Time: 1,591384
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.78, 1.27, 0.00), Sphere:(0.73, 1.32, 0.00), Time: 1,644954
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.78, 1.31, 0.00), Sphere:(0.75, 1.34, 0.00), Time: 1,701225
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.81, 1.37, 0.00), Sphere:(0.77, 1.36, 0.00), Time: 1,756362
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.82, 1.37, 0.00), Sphere:(0.79, 1.38, 0.00), Time: 1,812514
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.79, 1.43, 0.00), Sphere:(0.80, 1.41, 0.00), Time: 1,869616
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.79, 1.47, 0.00), Sphere:(0.82, 1.43, 0.00), Time: 1,92245
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.77, 1.48, 0.00), Sphere:(0.84, 1.45, 0.00), Time: 1,978644
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.81, 1.50, 0.00), Sphere:(0.85, 1.47, 0.00), Time: 2,034101
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.82, 1.53, 0.00), Sphere:(0.86, 1.50, 0.00), Time: 2,089891
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.83, 1.56, 0.00), Sphere:(0.88, 1.52, 0.00), Time: 2,145159
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.94, 1.55, 0.00), Sphere:(0.89, 1.55, 0.00), Time: 2,201172
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.90, 1.58, 0.00), Sphere:(0.91, 1.58, 0.00), Time: 2,267037
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.91, 1.59, 0.00), Sphere:(0.92, 1.60, 0.00), Time: 2,322786
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.90, 1.65, 0.00), Sphere:(0.93, 1.63, 0.00), Time: 2,381375
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.91, 1.70, 0.00), Sphere:(0.94, 1.65, 0.00), Time: 2,43587
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.90, 1.75, 0.00), Sphere:(0.95, 1.68, 0.00), Time: 2,491694
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.89, 1.75, 0.00), Sphere:(0.96, 1.71, 0.00), Time: 2,546755
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.91, 1.85, 0.00), Sphere:(0.96, 1.73, 0.00), Time: 2,603122
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.89, 1.82, 0.00), Sphere:(0.97, 1.76, 0.00), Time: 2,661376
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.87, 1.83, 0.00), Sphere:(0.98, 1.79, 0.00), Time: 2,713081
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.92, 1.83, 0.00), Sphere:(0.98, 1.81, 0.00), Time: 2,769394
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.92, 1.87, 0.00), Sphere:(0.99, 1.85, 0.00), Time: 2,836585
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.94, 1.88, 0.00), Sphere:(0.99, 1.88, 0.00), Time: 2,892293
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.95, 1.94, 0.00), Sphere:(1.00, 1.90, 0.00), Time: 2,948716
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.94, 1.94, 0.00), Sphere:(1.00, 1.93, 0.00), Time: 3,00277
Player: Followcircle - Arrow, Rotation: 5, Pointer:(1.00, 1.97, 0.00), Sphere:(1.00, 1.96, 0.00), Time: 3,059261
Player: Followcircle - Arrow, Rotation: 5, Pointer:(1.00, 1.98, 0.00), Sphere:(1.00, 1.99, 0.00), Time: 3,114098
Player: Followcircle - Arrow, Rotation: 5, Pointer:(1.01, 1.98, 0.00), Sphere:(1.00, 2.01, 0.00), Time: 3,169097
Player: Followcircle - Arrow, Rotation: 5, Pointer:(1.02, 2.02, 0.00), Sphere:(1.00, 2.05, 0.00), Time: 3,23619
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.98, 2.07, 0.00), Sphere:(1.00, 2.07, 0.00), Time: 3,29147
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.97, 2.08, 0.00), Sphere:(0.99, 2.10, 0.00), Time: 3,347599
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.98, 2.14, 0.00), Sphere:(0.99, 2.13, 0.00), Time: 3,400884
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.99, 2.16, 0.00), Sphere:(0.99, 2.16, 0.00), Time: 3,456873
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.97, 2.21, 0.00), Sphere:(0.98, 2.18, 0.00), Time: 3,513275
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.99, 2.22, 0.00), Sphere:(0.98, 2.21, 0.00), Time: 3,568474
Player: Followcircle - Arrow, Rotation: 5, Pointer:(1.00, 2.25, 0.00), Sphere:(0.97, 2.24, 0.00), Time: 3,623494
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.99, 2.24, 0.00), Sphere:(0.96, 2.27, 0.00), Time: 3,678691
Player: Followcircle - Arrow, Rotation: 5, Pointer:(1.00, 2.26, 0.00), Sphere:(0.95, 2.30, 0.00), Time: 3,746094
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.95, 2.28, 0.00), Sphere:(0.95, 2.32, 0.00), Time: 3,800494
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.95, 2.31, 0.00), Sphere:(0.94, 2.35, 0.00), Time: 3,858788
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.93, 2.33, 0.00), Sphere:(0.93, 2.38, 0.00), Time: 3,911779
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.91, 2.39, 0.00), Sphere:(0.92, 2.40, 0.00), Time: 3,96836
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.97, 2.42, 0.00), Sphere:(0.90, 2.43, 0.00), Time: 4,023515
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.92, 2.44, 0.00), Sphere:(0.89, 2.45, 0.00), Time: 4,079232
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.91, 2.46, 0.00), Sphere:(0.88, 2.48, 0.00), Time: 4,145448
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.88, 2.50, 0.00), Sphere:(0.86, 2.51, 0.00), Time: 4,201025
